"O arquivo deve ser salvo em CSV separado por ""pronto e virgula"". Caso tenha ""ponto e virgula"" no nome, resumo ou descrição do produto, é necessário que faça a substituição dele pela string [pontovirgula] antes de salvar o CSV.",,,,,,,,,,,,
REF,Nome,Slug,Descricao,Resumo,Preco,PrecoPromocao,Peso,Quantidade,Altura,Largura,Profundidade,"GerenciarEstoque
"
1009,ADESIVO REPELENTE MOSQUITO- SAI MOSQUITO,,"Fabricado na China
Embalagem: Caixa
Conteúdo da embalagem: 2 cartelas com 4 adesivos cada
Hipoalergênico
Aplicação rápida, segura e suave
Proteção de 8 horas
Fácil remoção e indolor
100% oléo de citronela
","Trata-se de um sticker natural que repele mosquitos através de óleo de citronela.

O Sai Mosquito é aplicado em roupas e, segundo o fabricante, afasta os mosquitos (inclusive o aedes aegypti) por até 8 horas. O produto, que é 100% seguro, atóxico e atua até 8 horas, deve ser aplicado diretamente na roupa das crianças.

O cartucho de papel cartão traz duas cartelas com quatro adesivos cada, que são acondicionados em embalagens flexíveis com zíper (zip lock) para não perder a essência e funcionalidade do produto.

O design das embalagens é da Austerbrands. Os itens são produzidos e acondicionados na China.","24,9","24,9",,5,,,,1
1010,POMADA A+D PREVENT POTE 454G,,"Produto importado dos EUA 
Dimensões da embalagem: A 80 x L 90 x P 90 mm. 
Conteúdo da embalagem: 454g
Não há restrição de uso

Ingredientes ativos
Lanolina 15,5% 
Vaselina 53,4%
Ingredientes inativos
óleo de fígado de bacalhau (contém vitamina A e vitamina D), fragrância, óleo mineral leve, cera microcristalina, parafina
Propósito
Assaduras pomada 
Protetor da pele
","Pomada para prevenção de assaduras importada A+D.

Ela possui uma consistência diferente das outras pomadas, além de ser transparente é menos oleosa o que facilita sua remoção.

Não possui zinco em sua fórmula, o que faz esse fator ser mais um diferencial das outras marcas. 

A+D forma uma camada bem espessa no bumbum do bebê, protegendo-o até a próxima troca de fralda, rendendo mais e não deixando de fato que o bebê fique um longo período sem a ação do produto.

Pode ser usada também para alívio de irritações, em pequenos cortes e em leves queimaduras.

É uma das pomada mais vendida dos EUA.

Sua fórmula contêm:

- Lanolina

- Vitamina A e D

- Vaselina","119,9","119,9",,5,,,,1
1011,POMADA A+D PREVENT POTE 113G,,"Produto importado dos EUA 
Dimensões da embalagem: A 115 x L 400 x P 40 mm. 
Conteúdo da embalagem: 113 g
Não há restrição de uso

Ingredientes ativos
Lanolina 15,5% 
Vaselina 53,4%
Ingredientes inativos
óleo de fígado de bacalhau (contém vitamina A e vitamina D), fragrância, óleo mineral leve, cera microcristalina, parafina
Propósito
Assaduras pomada 
Protetor da pele
","Pomada para prevenção de assaduras importada A+D.

Ela possui uma consistência diferente das outras pomadas, além de ser transparente é menos oleosa o que facilita sua remoção.

Não possui zinco em sua fórmula, o que faz esse fator ser mais um diferencial das outras marcas. 

A+D forma uma camada bem espessa no bumbum do bebê, protegendo-o até a próxima troca de fralda, rendendo mais e não deixando de fato que o bebê fique um longo período sem a ação do produto.

Pode ser usada também para alívio de irritações, em pequenos cortes e em leves queimaduras.

É uma das pomada mais vendida dos EUA.

Sua fórmula contêm:

- Lanolina

- Vitamina A e D

- Vaselina","49,9","49,9",,5,,,,1
1012,POMADA A+D TRATAMENTO COM ALOE E ZINCO 113G,,"Ingredientes ativos
Oxido de Zinco 10% 
Dimethiconr  1%%
Ingredientes inativos
óleo de fígado de bacalhau (contém vitamina A e vitamina D), oléo de coco, fragrância, óleo mineral leve, cera microcristalina, parafina
Propósito
Assaduras pomada 
Protetor da pele
","Considerada uma das melhores pomadas de tratamento para assaduras no bebês.  Diferente da pomada de uso diário, a+d tratamento é para ser utilizada quando o bebê já está com o bumbum assado, ela tanto trata quanto previne o aparecimento de futuras assaduras. Basta aplicar e com algumas horas já é possível se notar a melhora.
Muitas mamães elogiam seu cheirinho considerando por tratar de uma pomada para tratamento e sua consistência pois ela fica intermediária entre os cremes para assaduras que é bem ralinho e pomadas muito pastosas. 
Possui Aloe e zinco em sua fórmula, pode ser usada também na pele irritada para suavizar e aliviar os sintomas.","49,9","49,9",,5,,,,1
1013,POMADA DESITIN MAXIMIUM STRENGHT ROXA 113G,,"Produto importado dos EUA 
Dimensões da embalagem: A 150 x L 60 x P 40 mm. 
Conteúdo da embalagem: 113g
Não há restrição de uso

Ingredientes ativos
Oxido de Zinco 40% 
Propósito
Assaduras pomada 
Protetor da pele
","Produto campeão em vendas nos EUA. Alívio em horas (Overnight Relief) Contém 40% de zinco, que acelera a cicatrização do tecido lesado, eliminando as assaduras mais rapidamente.
Ótimo custo benefício, rende 3x mais que as nacionais.
Azul = Prevenção
Roxa = Tratamento
Ajuda a curar, aliviar, e evitar assaduras Desitin ® Creme alívio rápido forma uma camada protetora sobre a pele do seu bebê para acalmar e aliviar o desconforto provocado por assaduras, proporcionando alívio em horas! Creme hipoalêrgenico, dermatologicamente testado, de fácil remoção durante a troca de fraldas; seu parceiro ideal para proteger e tratar assaduras. 
Confira tambem a versão para prevenção POMADA DESITIN AZUL - RAPID RELIEF","54,9","54,9",,5,,,,1
1014,POMADA DESITIN MAXIMIUM STRENGHT ROXA 454G,,"Produto importado dos EUA 
Dimensões da embalagem: A 80 x L 90 x P 90 mm. 
Conteúdo da embalagem: 454g
Não há restrição de uso

Ingredientes ativos
Oxido de Zinco 40%                                             
Propósito: 
Assaduras pomada 
Protetor da pele
"," 
Número um e recomendação d mães e pediatras.A fórmula rica e espessa de Desitin máxima força contém o nível máximo de óxido de zinco para formar imediatamente uma barreira para promover a cicatrização e aliviar o desconforto erupção cutânea. Esta fórmula sem parabenos também é testada por dermatologistas. Ele fornece alívio poderoso e duradouro para a pele macia do seu bebê, tornando Desitin Máxima Força seu parceiro de confiança para o tratamento da erupção da fralda. 
Seu uso ajuda a tratar e prevenir assaduras .
Protege irritação da pele devido a assaduras e ajuda a selar a umidade
","129,9","129,9",,5,,,,1
1015,POMADA DESITIN RAPID RELIEF 454G,,"Produto importado dos EUA 
Dimensões da embalagem: A 80 x L 90 x P 90 mm. 
Conteúdo da embalagem: 454g
Não há restrição de uso

Ingredientes ativos
Oxido de Zinco 40% 
Propósito
Assaduras pomada 
Protetor da pele
","DESITIN ® RAPID RELIEF forma uma camada protetora sobre a pele do seu bebê para acalmar e aliviar o desconforto das assaduras, proporcionando alívio após a primeira utilização. É hipoalergênica e sua fórmula cremosa testadas dermatologicamente livre de fragrância pode ser facilmente removida, tornando DESITIN ®alívio rápido Creme seu parceiro todos os dias na proteção contra e assaduras para alívio seu bebê pode sentir.
Usos:
• Ajuda a tratar e prevenir assaduras
• Proteja a pele irritada devido à contato com a fralda e ajuda a selar a umidade
Benefícios:
• Alivia o desconforto do contato com a fralda desde o primeiro uso
• Fórmula cremosa que desliza suavemente e limpa facilmente
• Ajuda a reduzir a vermelhidão e irritação da pele sensível
• Forma uma barreira protetora na pele
• Fornece hidratação e emoliência à pele
Evidência clínica:
DESITIN ® alívio rápido Creme ajuda a proporcionar alívio durante a noite de assaduras. Em um estudo clínico, 90% dos bebês com assaduras tiveram alívio perceptível dentro de 12 horas do uso de DESITIN ®Creme alívio rápido.
Alergias:
DESITIN ® alívio rápido creme é hipoalergênico e testada por pediatras.
","129,9","129,9",,5,,,,1
1016,POMADA DESITIN MULTI- POURPOSE COM VITAMINA A&D 99G,,"Produto importado dos EUA 
Embalagem: Tubo
Dimensões da embalagem: A 150 x L 60 x P 40 mm. 
Conteúdo da embalagem: 99g
Não há restrição de uso

Ingredientes ativos
Petrolatum 70,3%

Propósito
Assaduras pomada 
Protetor da pele

Instruções:

Para a assadura causada por fralda:
Mudar imediatamente as fraldas molhadas ou sujas
Limpe a área da fralda
Deixe secar
Aplique pomada liberalmente quantas vezes for necessário, com cada mudança de fralda, especialmente na hora de dormir ou a qualquer momento quando a exposição a fraldas molhadas pode ser prolongada

Para irritação da pele:
Aplicar liberalmente e conforme necessário
","Familia Desitin cresceu, chegou o mais novo produto, sucesso nos EUA Desitin creme Transparente é rico em vitaminas A e D,forma uma camada protetora na pele, tem dá um efeito calmante sobre a pele sensível. 
Desitin Pomada transparente é ideal para aplicação em cada troca de fralda para evitar assaduras e também pode ser usado na pele com irritações como dermatites no nariz, bochechas . 
Esta pomada e multi-uso, Protege contra irritações, Trata irritações menores da pele ou cortes e queimaduras, hipoalergênico,pediatra testado","119,9","119,9",,5,,,,1
1017,AFTER BITE POMADA PARA PICADA INSETO ,,"Produto importado dos EUA 
Embalagem: Tubo
Dimensões da embalagem: A 130 x L 110 x P 50 mm. 
Conteúdo da embalagem: 20g
","Alívio imediato!

Esteja preparado para picadas de mosquitos, pernilongos, moscas, pulgas e carrapatos. Este creme, não causa ardência na pele e proporciona alívio imediato e é calmante da dor, coceira e inchaço das picadas de insetos. O After Bites contém bicarbonato de sódio, aloe vera e óleo da árvore do chá verde, para ajudar a acalmar e hidratar a pele. Esteja pronto para o verão!","44,9","44,9",,5,,,,1
1018,PACIFIER WIPES MUNCHKIN,,"Produto importado dos EUA 
Dimensões: A 105 X L120 X C80 mm
Peso do produto: 0,19 kg
Capacidade 207ml
","Nem todos os produtos de limpeza são criados iguais.
A MUNCHKIN Pacifier Wipes Clean pode dar-lhe tranquilidade quando se trata de lenços esterilizadores de chupetas.
Feito com 100% de ingredientes de qualidade, limpa chupetas, mamadeiras, bicos, copos, utensílios e brinquedos de dentição usando o poder seguro e natural de bicarbonato de sódio.
Estes lenços sem álcool são perfeitos para uso on-the-go. Leva-lo na bolsa do bebê é indispensável, para aqueles momentos inevitáveis quando você ou o bebê deixar cair a última garrafinha limpa, mordedor ou chupeta no chão.","39,9","39,9",,5,,,,1
