"O arquivo deve ser salvo em CSV separado por ""pronto e virgula"". Caso tenha ""ponto e virgula"" no nome, resumo ou descrição do produto, é necessário que faça a substituição dele pela string [pontovirgula] antes de salvar o CSV.",,,,,,,,,,,,
REF,Nome,Slug,Descricao,Resumo,Preco,PrecoPromocao,Peso,Quantidade,Altura,Largura,Profundidade,"GerenciarEstoque
"
1019,COPO 360° TREINAMENTO ANTIVAZAMENTO MUNCHKIN ROSA,,"Produto importado dos EUA 
Dimensões: A 105 X L120 X C80 mm
Peso do produto: 0,19 kg
Capacidade 207ml
","O Copo Treinamento 360° é o primeiro copo inventado com os pais e as crianças em mente. Um copo que elimina a bagunça e apoia a saúde dental infantil. É possível beber de qualquer lugar ao redor do aro , como um copo regular e ainda ajuda no desenvolvimento muscular da boca da criança. Sem bicos extra, palhetas ou peças, é fácil de usar e ainda mais fácil de limpar.
-  Sem BPA
-  Anti-vazamento
-  Feito em polipropileno e silicone
-  Fácil limpeza
-  Ajuda no desenvolvimento muscular da boca da criança
-  Recomendado por dentistas
-  Capacidade de 207ml
","59,9","59,9",,5,,,,1
1020,COPO 360° TREINAMENTO ANTIVAZAMENTO MUNCHKIN AZUL,,"Produto importado dos EUA 
Dimensões: A 105 X L120 X C80 mm
Peso do produto: 0,19 kg
Capacidade 207ml
","O Copo Treinamento 360° é o primeiro copo inventado com os pais e as crianças em mente. Um copo que elimina a bagunça e apoia a saúde dental infantil. É possível beber de qualquer lugar ao redor do aro , como um copo regular e ainda ajuda no desenvolvimento muscular da boca da criança. Sem bicos extra, palhetas ou peças, é fácil de usar e ainda mais fácil de limpar.
-  Sem BPA
-  Anti-vazamento
-  Feito em polipropileno e silicone
-  Fácil limpeza
-  Ajuda no desenvolvimento muscular da boca da criança
-  Recomendado por dentistas
-  Capacidade de 207ml
","59,9","59,9",,5,,,,1
1021,COPO 360° GRANDE ANTIVAZAMENTO MUNCHKIN ROSA,,"Produto importado dos EUA 
Dimensões: Altura: 130  L70 C70
Peso do produto: 0,19 kg
Capacidade de 296ml
","O Copo Grande 360° é o primeiro copo inventado com os pais e as crianças em mente. Um copo que elimina a bagunça e apoia a saúde dental infantil. É possível beber de qualquer lugar ao redor do aro , como um copo regular e ainda ajuda no desenvolvimento muscular da boca da criança. Sem bicos extra, palhetas ou peças, é fácil de usar e ainda mais fácil de limpar.
Características principais:
-  Sem BPA
-  Anti-vazamento
-  Feito em polipropileno e silicone
-  Fácil limpeza
-  Ajuda no desenvolvimento muscular da boca da criança
-  Recomendado por dentistas
-  Capacidade de 296ml
","59,9","59,9",,5,,,,1
1022,COPO 360° GRANDE ANTIVAZAMENTO MUNCHKIN AZUL,,"Produto importado dos EUA 
Dimensões: Altura: 130  L70 C70
Peso do produto: 0,19 kg
Capacidade de 296ml
","O Copo Grande 360° é o primeiro copo inventado com os pais e as crianças em mente. Um copo que elimina a bagunça e apoia a saúde dental infantil. É possível beber de qualquer lugar ao redor do aro , como um copo regular e ainda ajuda no desenvolvimento muscular da boca da criança. Sem bicos extra, palhetas ou peças, é fácil de usar e ainda mais fácil de limpar.
Características principais:
-  Sem BPA
-  Anti-vazamento
-  Feito em polipropileno e silicone
-  Fácil limpeza
-  Ajuda no desenvolvimento muscular da boca da criança
-  Recomendado por dentistas
-  Capacidade de 296ml
","59,9","59,9",,5,,,,1
1023,COPO TRANSIÇÃO FLEXIVEL COM ALÇA  MUNCHKIN ROSA,,"Produto importado dos EUA 
Copo de Transição Rosa Munchkin
Dimensões: A100 X L100 X C100
Peso: 90,00 Gramas
Capacidade: 118 ml 
","O Copo de Transição  Munchkin possui alças para facilitar e encorajar seu bebê a segurar o copo e beber sozinho.


Com bico macio e flexível, facilita a transição tranquila da mamadeira para o copo.


Características principais:
Capacidade para 118 ml
Ideal para crianças a partir de 4 meses de idade
Livre de BPA
Anti vazamento 
Bico flexível","59,9","59,9",,5,,,,1
1024,COPO TRANSIÇÃO FLEXIVEL COM ALÇA  MUNCHKIN VERDE,,"Produto importado dos EUA 
Copo de Transição azul Munchkin
Dimensões: A100 X L100 X C100
Peso: 90,00 Gramas
Capacidade: 118 ml 
","O Copo de Transição  Munchkin possui alças para facilitar e encorajar seu bebê a segurar o copo e beber sozinho.


Com bico macio e flexível, facilita a transição tranquila da mamadeira para o copo.


Características principais:
Capacidade para 118 ml
Ideal para crianças a partir de 4 meses de idade
Livre de BPA
Anti vazamento 
Bico flexível","59,9","59,9",,5,,,,1
1025,COPO TRANSIÇÃO FLEXIVEL COM ALÇA  MUNCHKIN AZUL,,"Produto importado dos EUA 
Copo de Transição Verde Munchkin
Dimensões: A100 X L100 X C100
Peso: 90,00 Gramas
Capacidade: 118 ml 
","O Copo de Transição  Munchkin possui alças para facilitar e encorajar seu bebê a segurar o copo e beber sozinho.


Com bico macio e flexível, facilita a transição tranquila da mamadeira para o copo.


Características principais:
Capacidade para 118 ml
Ideal para crianças a partir de 4 meses de idade
Livre de BPA
Anti vazamento 
Bico flexível","59,9","59,9",,5,,,,1
1026,BANHEIRA INFLÁVEL MUNCHKIN,,"Dimensões
Banheira Inflável Patinho Amarelo Munchkin
Altura: 50,00 Centímetros
Largura: 48,00 Centímetros
Profundidade: 18,00 Centímetros
Peso: 700,00 Gramas","A Banheira para Bebê Munchkin Inflável Patinho Amarelo transforma o banho do bebê em uma divertida brincadeira.
Em formato de pato. Além de confortável, é segura graças à superfície texturizada que reduz o risco de escorregões e ao disco especial que indica quando a temperatura da água está muito alta.
Inflável, pode ser esvaziada e dobrada facilmente. Também pode ser pendurada pelas ventosas para secar. Ideal para viagens e passeios, inclusive para as férias na praia.
A Banheira para Bebê Munchkin Inflável Patinho Amarelo é indicada para crianças que já podem sentar sozinhas até 2 anos.

Características principais:
Inflável
Textura antiderrapante
Disco para medição da temperatura da água","99,9","99,9",,5,,,,1
1027,LETRINHAS E NUMEROS MUNCHKIN,,"Dimensões
Letrinhas e Números para Banho Munchkin
Altura: 8,00 Centímetros
Largura: 1,00 Centímetro
Profundidade: 1,00 Centímetro
Peso: 50,00 Gramas","As Letrinhas e Números para banho são feitas com espuma EVA macia e quando estão molhadas grudam na parede formando palavras ou números de acordo com a imaginação do seu filho.


Características principais:
Para crianças a partir de 3 anos 
Contém 36 figuras, sendo 26 letrinhas (a-z) e 10 números (0-9)
As figuras são espumas suaves e duradouras
Grudam no azulejo quando estão molhadas
Espuma EVA","69,9","69,9",,5,,,,1
1028,BICHINHOS DE BANHO MUNCHKIN,,"Produto importado dos EUA 
Conteúdo da embalagem: 5 bichinhos de banho
Material: borracha
Espirra água
Recomendação de uso: a partir 9 meses
","Bichinho de Banho - Munchkin

Os bichinhos de banho da Munchkin tornam a hora do banho muito mais divertida.
Afunde os bichinhos na água, aperte-o e solte-o para enchê-lo com água. 
Depois basta apertá-lo para espirrar água.

Embalagem c/ 5 Unidades","59,9","59,9",,5,,,,1
1029,COLHER TERMO SENSÍVEL MUNCHKIN,,"Colher Termo Sensível
Altura: 15,00 Centímetros
Largura: 16,00 Centímetros
Profundidade: 25,00 Centímetros
Peso: 110,00 Gramas","É bastante difícil saber se o alimento está muito quente para o seu bebê, na verdade era, pois temos as novas colheres de segurança da Munchkin. Basta mergulhar a ponta da colhere na comidinha do bebê para verificar se ela está muito quente. Se a ponta ficar branca, a comida está muito quente para o bebê comer. Espere esfriar, mergulhe novamente, e se a ponta não ficar branca é só alimentar o seu bebê. Você pode alimentar seu pequeno sem se preocupar com a temperatura.","54,9","54,9",,5,,,,1
1030,COLHER DE SILICONE MUNCHKIN AZUL E VERDE,,"Conjunto de 2 Colheres AZUL E VERDE
Altura: 1,00 Centímetro
Largura: 16,00 Centímetros
Profundidade: 2,00 Centímetros
Peso: 40,00 Gramas","O Conjunto de 2 Colheres é o acessório ideal para a hora da refeição do seu bebê. Com cabo longo e ponta de silicone macio, ela evita machucar a gengiva sensível da criança e oferece mais praticidade para a mamãe e o papai.

Características principais:
Acompanha 2 colheres
Ponta e cabo de silicone macio
Cabo longo
Sem BPA
A partir de 6 meses","39,9","39,9",,5,,,,1
1031,COLHER DE SILICONE MUNCHKIN ROSA E VERDE,,"Conjunto de 2 Colheres Rosa e Verde Munchkin
Altura: 1,00 Centímetro
Largura: 16,00 Centímetros
Profundidade: 2,00 Centímetros
Peso: 400,00 Gramas","O Conjunto de 2 Colheres é o acessório ideal para a hora da refeição do seu bebê. Com cabo longo e ponta de silicone macio, ela evita machucar a gengiva sensível da criança e oferece mais praticidade para a mamãe e o papai.

Características principais:

Acompanha 2 colheres
Ponta e cabo de silicone macio
Cabo longo
Sem BPA
A partir de 6 meses","39,9","39,9",,5,,,,1
1032,ALIMENTADOR MUNCHKIN AZUL VERDE,,"Alimentador  AZUL/VERDE Munchkin
Altura: 12,00 Centímetros
Largura: 7,00 Centímetros
Profundidade: 5,00 Centímetros
Peso: 350,00 Gramas","Quando o bebê chega aos 06 meses, ele precisa se alimentar não apenas com o leite materno, mas com outros tipos de alimentos. Nessa fase ele tem vontade de descobrir novos sabores, por este motivo a Munchkin desenvolveu o Alimentador Azul Munchkin, com o intuito de facilitar a alimentação dos pequenos.

Sua estrutura foi produzida em material de alta qualidade, por este motivo é mais resistente a impactos e quedas. Ideal para ajudar o bebê a degustar mantimentos de uma maneira mais segura, diminuindo o risco de afogamentos e asfixia, pois impede que ele ingira pedaços grandes.

Por ser um formato parecido com uma chupeta, as crianças vão se adaptar facilmente, tornando o risco de rejeição quase nulo, além de ser simples de manusear. Fácil de limpar, o Alimentador Azul Munchkin vem acompanhado de uma tampa protetora para ajudar a manter a higiene. Uma maneira divertida de apreciar os sabores naturais das frutas e outros alimentos.","39,9","39,9",,5,,,,1
1033,ALIMENTADOR MUNCHKIN LARANJA E ROSA,,"Alimentador ARANJA E ROSA Munchkin
Altura: 12,00 Centímetros
Largura: 7,00 Centímetros
Profundidade: 5,00 Centímetros
Peso: 350,00 Gramas","Quando o bebê chega aos 06 meses, ele precisa se alimentar não apenas com o leite materno, mas com outros tipos de alimentos. Nessa fase ele tem vontade de descobrir novos sabores, por este motivo a Munchkin desenvolveu o Alimentador Azul Munchkin, com o intuito de facilitar a alimentação dos pequenos.

Sua estrutura foi produzida em material de alta qualidade, por este motivo é mais resistente a impactos e quedas. Ideal para ajudar o bebê a degustar mantimentos de uma maneira mais segura, diminuindo o risco de afogamentos e asfixia, pois impede que ele ingira pedaços grandes.

Por ser um formato parecido com uma chupeta, as crianças vão se adaptar facilmente, tornando o risco de rejeição quase nulo, além de ser simples de manusear. Fácil de limpar, o Alimentador Azul Munchkin vem acompanhado de uma tampa protetora para ajudar a manter a higiene. Uma maneira divertida de apreciar os sabores naturais das frutas e outros alimentos.","39,9","39,9",,5,,,,1
1034,CONJUNTO DE PRATOS COLORIDOS MUNCHKIN,,"Produto Importado dos EUA              Peso 0.400 kg
Dimensões 31 x 21 x 12 cm","Seu filho(a) vai amar uma refeição servida nesse pratinho com divisória em formato de maçã da Munchkin. Com um design profundo com divisores em uma forma divertida de maçã e cores brilhante fazem o jantar, almoço ou snack um tempo divertido para até mesmo um comedor exigente.

Um Munchkin Lil Apple dividido placa faz refeições divertido e colorido para o seu pequeno;
Forma bonito da maçã e cores brilhante;
3 seções divididas mantêm os alimentos separados;
Os lados profundos e inclinados permitem uma escavação mais fácil dos alimentos;
Empilhável para fácil armazenamento;
Design de polipropileno durável;
Livre de BPA;
Top-rack laváveis em máquina de lavar louça;
Adequado para crianças a partir de 6 meses;
Inclui 3 pratos","69,9","69,9",,5,,,,1
1035,CONJUNTO DE TIJELAS COLORIDAS MUNCHKIN,,"Produto importado dos EUA 
Conteúdo da embalagem: 4 tigelas coloridas e 2 colheres
Recomendação de uso: a partir 04 meses 
","Com esse colorido Conjunto de Tigelas, as papinhas poderão ser armazenadas com segurança e levadas para onde quiser.

São 4 tigelas coloridas com tampa que não vazam, não quebram e ainda podem ser usadas no microondas e na máquina de lavar louças.  

São fáceis de empilhar e acompanham duas colheres para facilidade. ","69,9","69,9",,5,,,,1
1036,CONJUNTO DE TIJLAS COM VENTOSA MUNCHKIN,,"Produto importado dos EUA  
Conteúdo da Embalagem 3 Tigelas e 1 Tampa
Dimensões aproximadas da embalagem (cm) - AxLxP 17,8x25x13cm
Peso aproximado da embalagem do produto (kg) 311g 
","As Tigelas com Ventosa da Munchkin possuem 3 tamanhos convenientes, com ventosas. Somente o pote menor possui tampa de vedação, ideal para viagem.
Vem em três tamanhos. Cada bacia caracteriza uma base unida permanente que ajuda a impedir o derramamento. É feita de plástico, super coloridas.

Não se deve usar em mciroondas elava-louças.","79,9","79,9",,5,,,,1
1037A,PORTA-BISCOITINHOS VERDE E AZUL MUNCHKIN KIT COM 2 ,,"Produto importado dos EUA  
Composição: Polipropileno, Elastômero Termoplástico, Elastômero Termoplástico de Poliuretano
Dimensões do produto:
Largura: 12,00 cm Altura: 10,00 cm Profundidade: 11,00 cm
Peso: 80,00 g
","Indicado para crianças a partir de 1 ano.

O Porta Biscoitinhos da Munchkin comporta 250g. Não deixa os cereais cairem, fácil de pegar.
Abas flexíveis para facilitar o acesso, rachaduras em relevo limpam os dedinhos, tampa côncava comporta mais cereais,local especial para escrever o nome da criança. 
Não usar no microondas, não ferver ou esterilizar a vapor. 
Lavar todas as partes antes do primeiro uso. 
","69,9","69,9",,,,,,1
1037B,PORTA-BISCOITINHOS ROSA E LARANJA  MUNCHKIN,,"Produto importado dos EUA  
Composição: Polipropileno, Elastômero Termoplástico, Elastômero Termoplástico de Poliuretano
Dimensões do produto:
Largura: 12,00 cm Altura: 10,00 cm Profundidade: 11,00 cm
Peso: 80,00 g
","Indicado para crianças a partir de 1 ano.

O Porta Biscoitinhos da Munchkin comporta 250g. Não deixa os cereais cairem, fácil de pegar.
Abas flexíveis para facilitar o acesso, rachaduras em relevo limpam os dedinhos, tampa côncava comporta mais cereais,local especial para escrever o nome da criança. 
Não usar no microondas, não ferver ou esterilizar a vapor. 
Lavar todas as partes antes do primeiro uso. 
","39,9","39,9",,5,,,,1
1038,Bolsa Térmica Cool-Er Bag Preta Multikids ,,"Revestimento Lavável, Impermeável E Fácil De Limpar.
Divisórias Internas Com Elástico Para Organização.
Mantém A Temperatura Dos Alimentos.
Medidas: 27x24x9cm (LxAxP)
","Bolsa Térmica Multikids Cool-Er Bag Preta, com recortes pespontados, fácil de lavar, revestimento interno impermeável, divisórias com elástico e forro com isolamento térmico para manter a temperatura dos alimentos. ","69,9","69,9",,5,,,,1
1039,COLHER DOSADORA DE PAPINHA  AZUL MULTIKIDS,,A Colher Dosadora para Papinha é indicada a partir de 04 meses. Tem capacidade para 100 ml. Não contém BPA - BPA Free.,"A Colher Dosadora de Papinha FUNNY MEAL da Multikids Baby é aopção mais prática e segura para alimentar o seu bebê. Sem bagunça e muito fácil de usar, a mamãe pode alimentar seu bebê em qualquer lugar, seja em casa ou em um passeio ao parque. A colher que vai auxiliar à mamãe na introdução da papinha na alimentação do bebê.

Possui uma trava que evita o vazamento da papinha, e uma tampa que mantém a colher limpa.

A Colher Dosadora para Papinha é indicada a partir de 04 meses. Tem capacidade para 100 ml. Não contém BPA 
","49,9","49,9",,5,,,,1
1040,COLHER DOSADORA DE PAPINHA  ROSA MULTIKIDS,,A Colher Dosadora para Papinha é indicada a partir de 04 meses. Tem capacidade para 100 ml. Não contém BPA - BPA Free.,"A Colher Dosadora de Papinha FUNNY MEAL da Multikids Baby é aopção mais prática e segura para alimentar o seu bebê. Sem bagunça e muito fácil de usar, a mamãe pode alimentar seu bebê em qualquer lugar, seja em casa ou em um passeio ao parque. A colher que vai auxiliar à mamãe na introdução da papinha na alimentação do bebê.

Possui uma trava que evita o vazamento da papinha, e uma tampa que mantém a colher limpa.

A Colher Dosadora para Papinha é indicada a partir de 04 meses. Tem capacidade para 100 ml. Não contém BPA 
","49,9","49,9",,5,,,,1
1041,TERMOMETRO SEM TOQUE  MULTIKIDS,,". Dimensões: 24,73 x 30,21 x 95,51 mm
. Composição: plástico
. Peso Líquido: 0,49 g
. Alimentação: 1 pilha AAA
Conteúdo da Embalagem
. 1 Termômetro Sem Toque Multilaser
. 1 Manual do Usuário
. 1 Pillha AAA","O Termômetro Digital sem Toque Baby Care da Multilaser é um produto super prático. Ele foi desenvolvido para evitar as complicações na vida dos pais e trazer muito mais qualidade de vida e saúde para os bebês. Ele serve tanto para medir a temperatura corporal das crianças, quanto para informar a temperatura das refeições, ambiente, banho, etc. O resultado sai em 1 segundo. Tem alerta de febre, funciona a pilha e é ideal também para se medir a temperatura do bebê sem incomodá-lo durante a noite.",,,,5,,,,1
1043,REDUTOR DE ASSENTO COM ESCADA AZUL MULTIKIDS BABY,,"Este produto não é um brinquedo. Deixar fora do alcance de crianças.
Verificar com regularidade as condições de todas as partes do produto. Em caso de dano ou desgaste, descarte o produto imediatamente.
Guarde a embalagem para eventuais consultas.","Aprender a usar o vaso sanitário não é tarefa fácil para ... ninguém! Dê ao seu filho o conforto e a confiança que ele precisa para começar a sua experiência no aprendizado com o Step Up da Multikids Baby!RECOMENDAÇÕESEste produto não é um brinquedo. Deixar fora do alcance de crianças.Verificar com regularidade as condições de todas as partes do produto. Em caso de dano ou desgaste, descarte o produto imediatamente.Guarde a embalagem para eventuais consultas.","159,9","159,9",,5,,,,1
2538,ABSORV DESC. P/ SEIOS NOTURNO AVENT,,"Absorvente Descartável Para Seios Noturno 20 un Philips Avent tem um formato mais amplo, várias camadas e centro mais espesso para maior absorção. Cobertura unidirecional. Tiras desivas duplas. Imperceptível sob a roupa. Dermatologicamente testado..

Principiais Características:
• Contém 20 unidades.
• Livre de BPA.
• 4 vezes mais absorventes.
• Conforto durante a noite.
• Ultra seco e com barreira à prova de vazamento.","Absorvente Descartável Noturno 20un. Avent


Um produto ideal para a mamãe ter uma noite agradável e seca.
Têm um formato mais largo com núcleo mais espesso para maior absorção. 
Fita adesiva dupla para manter o absorvente no lugar.
Com os discos ultra absorventes, os absorventes para seios Philips AVENT têm diversas camadas para total absorção e uma película unilateral que absorve a umidade dentro do disco. 
Eles são macios, higiênicos, eficientes e com formato anatômico.","39,9","39,9",,5,,,,1
2741A,BICO COPO PING AZUL AVENT,,"Composição: Polipropileno e Elastômeros termoplásticos.
Idade Recomendada: 6 meses+.","O Kit contém 2 Bicos de Reposição e 2 válvulas para Copo Pinguim 200ml.
Os Bicos são à prova de vazamento.
E são macios e flexíveis.
Não contém BPA.
","29,9","29,9",,5,,,,1
2741B,BICO COPO PINGUIM ROSA AVENT,,"Composição: Polipropileno e Elastômeros termoplásticos.
Idade Recomendada: 6 meses+.","O Kit contém 2 Bicos de Reposição e 2 válvulas para Copo Pinguim 200ml.
Os Bicos são à prova de vazamento.
E são macios e flexíveis.
Não contém BPA.
","29,9","29,9",,5,,,,1
1241A,BICO DE FLUXO VARIAVEL AVENT CLASSIC ,,"Marca: Philips Avent
Idade recomendada: A partir de 3 meses
Bico ortodôntico: Sim
Livre de Bisfenol A / BPA: Sim
Numeração do Bico: Ajustável
Material do Bico: Silicone
Atóxico: Sim
Esterilizável: Sim
Dimensões aprox. do produto - AxLxP: 12x6x4
Dimensões aprox. da embalagem - AxLxP: 5x6x14
Itens inclusos: 02 Bicos de Fluxo Ajustável
Certificação do Inmetro: Sim
Garantia do fornecedor: 3 Meses.
","Com o Bico Classic Philips Avent, seu bebê pode controlar o Fluxo do leite, ajudando a evitar amamentação em excesso e vazamento. Inovadora tecnologia Philips Avent! Neste Bico, o Fluxo pode ser variado ao girar a Mamadeira para alinhar as marcações I, II ou III do Bico com o nariz do bebê. Praticidade para os pais, 3 fluxos em um só Bico! Bico de silicone extra suave. Os bicos Philips Avent se encaixam em qualquer Mamadeira da linha, ativando a tecnologia AIRFLEX, que, segundo estudos clínicos, diminui a cólica e agitação do bebê.","34,9","34,9",,5,,,,1
2220,BICO MAMADEIRA PETALA AVENT N 1,,"Marca: Philips Avent
Idade recomendada: A partir do nascimento 
Bico ortodôntico: Sim
Livre de Bisfenol A / BPA: Sim
Numeração do Bico:01
Material do Bico: Silicone
Atóxico: Sim
Esterilizável: Sim
Dimensões aprox. do produto - AxLxP: 12x6x4
Dimensões aprox. da embalagem - AxLxP: 5x6x14
Itens inclusos: 02 Bicos Petala nº01
Certificação do Inmetro: Sim
","Bico Mamadeira pétala nº 1 - 0m+ Avent

Contém 2 unidades

O jeito natural de amamentar
Bico AVENT com design de pétala

Novo bico que ajuda a tornar a amamentação mais natural: para você e seu bebê. Ele conta com um design inovador de pétala para que o bebê possa abocanhá-lo como se fosse o seio, facilitando a amamentação pelo seio e pela mamadeira.

Linha Natural
Fluxo: natural, 1 orifício para recém-nascido
Indicação: Recém-nascido

Fácil de combinar amamentação e a mamadeira
• Facilita a pega do bebê devido ao formato largo do bico
Amamentação via mamadeira mais confortável para o bebê
• Pétalas confortáveis e exclusivas para um bico mais macio e flexível
O ar entra na mamadeira ao invés de entrar na barriga do bebê
• Sistema anticólica avançado com válvula dupla inovadora
0% de BPA (bisfenol A)
• Bico isento de bisfenol*
Outros benefícios
• Diferentes opções de fluxo para proporcionar a amamentação mais confortável
• Compatível com a mamadeira Pétala Philips AVENT

A Philips AVENT oferece diferentes opções de fluxo para auxiliar no crescimento do bebê. Lembre-se de que as indicações de idade são aproximadas, pois os bebês se desenvolvem em ritmos diferentes. A Philips AVENT oferece o bico com um orifício para recém-nascidos, o bico com dois orifícios para fluxo lento (bebês maiores de um mês), o bico com três orifícios para fluxo médio (bebês maiores de três meses) e o bico com quatro orifícios para fluxo rápido (bebês maiores de seis meses). Todos os bicos estão disponíveis em embalagens duplas.","34,9","34,9",,5,,,,1
2221,BICO MAMADEIRA AVENT PETALA N 2,,"Marca: Philips Avent
Idade recomendada: A partir 1 mes
Bico ortodôntico: Sim
Livre de Bisfenol A / BPA: Sim
Numeração do Bico:01
Material do Bico: Silicone
Atóxico: Sim
Esterilizável: Sim
Dimensões aprox. do produto - AxLxP: 12x6x4
Dimensões aprox. da embalagem - AxLxP: 5x6x14
Itens inclusos: 02 Bicos Petala nº02
Certificação do Inmetro: Sim
","Bico Mamadeira pétala nº 2 - 1m+ Avent

Contém 2 unidades

O jeito natural de amamentar
Bico AVENT com design de pétala

Novo bico que ajuda a tornar a amamentação mais natural: para você e seu bebê. Ele conta com um design inovador de pétala para que o bebê possa abocanhá-lo como se fosse o seio, facilitando a amamentação pelo seio e pela mamadeira.

Linha Natural
Fluxo: lento com 2 orifícios
Indicação: Um mês ou mais

Fácil de combinar amamentação e a mamadeira
• Facilita a pega do bebê devido ao formato largo do bico
Amamentação via mamadeira mais confortável para o bebê
• Pétalas confortáveis e exclusivas para um bico mais macio e flexível
O ar entra na mamadeira ao invés de entrar na barriga do bebê
• Sistema anticólica avançado com válvula dupla inovadora
0% de BPA (bisfenol A)
• Bico isento de bisfenol*
Outros benefícios
• Diferentes opções de fluxo para proporcionar a amamentação mais confortável
• Compatível com a mamadeira Pétala Philips AVENT

A Philips AVENT oferece diferentes opções de fluxo para auxiliar no crescimento do bebê. Lembre-se de que as indicações de idade são aproximadas, pois os bebês se desenvolvem em ritmos diferentes. A Philips AVENT oferece o bico com um orifício para recém-nascidos, o bico com dois orifícios para fluxo lento (bebês maiores de um mês), o bico com três orifícios para fluxo médio (bebês maiores de três meses) e o bico com quatro orifícios para fluxo rápido (bebês maiores de seis meses). Todos os bicos estão disponíveis em embalagens duplas.","34,9","34,9",,5,,,,1
2222,BICO MAMADEIRA PETALA AVENT N 3,,"Marca: Philips Avent
Idade recomendada: A partir 3 meses
Bico ortodôntico: Sim
Livre de Bisfenol A / BPA: Sim
Numeração do Bico:01
Material do Bico: Silicone
Atóxico: Sim
Esterilizável: Sim
Dimensões aprox. do produto - AxLxP: 12x6x4
Dimensões aprox. da embalagem - AxLxP: 5x6x14
Itens inclusos: 02 Bicos Petala nº03
Certificação do Inmetro: Sim
","Bico Mamadeira pétala nº 3 - 3m+ Avent

Contém 2 unidades

O jeito natural de amamentar
Bico AVENT com design de pétala

Novo bico que ajuda a tornar a amamentação mais natural: para você e seu bebê. Ele conta com um design inovador de pétala para que o bebê possa abocanhá-lo como se fosse o seio, facilitando a amamentação pelo seio e pela mamadeira.

Linha Natural
Fluxo: médio, 3 orifícios
Indicação: Três meses ou mais

Fácil de combinar amamentação e a mamadeira
• Facilita a pega do bebê devido ao formato largo do bico
Amamentação via mamadeira mais confortável para o bebê
• Pétalas confortáveis e exclusivas para um bico mais macio e flexível
O ar entra na mamadeira ao invés de entrar na barriga do bebê
• Sistema anticólica avançado com válvula dupla inovadora
0% de BPA (bisfenol A)
• Bico isento de bisfenol*
Outros benefícios
• Diferentes opções de fluxo para proporcionar a amamentação mais confortável
• Compatível com a mamadeira Pétala Philips AVENT

A Philips AVENT oferece diferentes opções de fluxo para auxiliar no crescimento do bebê. Lembre-se de que as indicações de idade são aproximadas, pois os bebês se desenvolvem em ritmos diferentes. A Philips AVENT oferece o bico com um orifício para recém-nascidos, o bico com dois orifícios para fluxo lento (bebês maiores de um mês), o bico com três orifícios para fluxo médio (bebês maiores de três meses) e o bico com quatro orifícios para fluxo rápido (bebês maiores de seis meses). Todos os bicos estão disponíveis em embalagens duplas.","34,9","34,9",,5,,,,1
2223,BICO MAMADEIRA PETALA AVENT N 4,,"Marca: Philips Avent
Idade recomendada: A partir 6 meses
Bico ortodôntico: Sim
Livre de Bisfenol A / BPA: Sim
Numeração do Bico:01
Material do Bico: Silicone
Atóxico: Sim
Esterilizável: Sim
Dimensões aprox. do produto - AxLxP: 12x6x4
Dimensões aprox. da embalagem - AxLxP: 5x6x14
Itens inclusos: 02 Bicos Petala nº04
Certificação do Inmetro: Sim
","Bico Mamadeira pétala nº 4 - 6m+ Avent

Contém 2 unidades

O jeito natural de amamentar
Bico AVENT com design de pétala

Novo bico que ajuda a tornar a amamentação mais natural: para você e seu bebê. Ele conta com um design inovador de pétala para que o bebê possa abocanhá-lo como se fosse o seio, facilitando a amamentação pelo seio e pela mamadeira.

Linha Natural
Fluxo: médio, 4 orifícios
Indicação: seis meses ou mais

Fácil de combinar amamentação e a mamadeira
• Facilita a pega do bebê devido ao formato largo do bico
Amamentação via mamadeira mais confortável para o bebê
• Pétalas confortáveis e exclusivas para um bico mais macio e flexível
O ar entra na mamadeira ao invés de entrar na barriga do bebê
• Sistema anticólica avançado com válvula dupla inovadora
0% de BPA (bisfenol A)
• Bico isento de bisfenol*
Outros benefícios
• Diferentes opções de fluxo para proporcionar a amamentação mais confortável
• Compatível com a mamadeira Pétala Philips AVENT

A Philips AVENT oferece diferentes opções de fluxo para auxiliar no crescimento do bebê. Lembre-se de que as indicações de idade são aproximadas, pois os bebês se desenvolvem em ritmos diferentes. A Philips AVENT oferece o bico com um orifício para recém-nascidos, o bico com dois orifícios para fluxo lento (bebês maiores de um mês), o bico com três orifícios para fluxo médio (bebês maiores de três meses) e o bico com quatro orifícios para fluxo rápido (bebês maiores de seis meses). Todos os bicos estão disponíveis em embalagens duplas.
","34,9","34,9",,5,,,,1
